Manufacture Year,Title,Variant,Kilometers Driven,Fuel Type,Transmission,Owners,Price,Location
2023,2023 MG HECTOR PLUS,SHARP PLUS 2.0 D TURBO MT 6STR,29.18k km,Diesel,Manual,1st owner,₹16.90 lakh,"Regency Anantam, Dombivli East"
2019,2019 MG HECTOR,SHARP 1.5 DCT PETROL,74.19k km,Petrol,Auto,1st owner,₹10.35 lakh,"Korum Mall, Thane West"
2020,2020 MG HECTOR PLUS,SHARP 1.5 PETROL TURBO DCT 6-STR,32.71k km,Petrol,Auto,2nd owner,₹11.90 lakh,"Mulund West, Mumbai"
2022,2022 MG HECTOR,SHARP 2.0 DIESEL,22.22k km,Diesel,Manual,1st owner,₹14.40 lakh,"Goregaon, Mumbai"
